sample,fq1,fq2
Nivea_folha_out_17_4,../fastq/Nivea_folha_out_17_4_R1.fastq.gz,../fastq/Nivea_folha_out_17_4_R2.fastq.gz
Nivea_raiz_set_17_5,../fastq/Nivea_raiz_set_17_5_R1.fastq.gz,../fastq/Nivea_raiz_set_17_5_R2.fastq.gz
Nivea_folha_jul_18_2,../fastq/Nivea_folha_jul_18_2_R1.fastq.gz,../fastq/Nivea_folha_jul_18_2_R2.fastq.gz
Nivea_raiz_abr_18_5,../fastq/Nivea_raiz_abr_18_5_R1.fastq.gz,../fastq/Nivea_raiz_abr_18_5_R2.fastq.gz
Inter_raiz_jul_18_1,../fastq/Inter_raiz_jul_18_1_R1.fastq.gz,../fastq/Inter_raiz_jul_18_1_R2.fastq.gz
Nivea_folha_jul_18_5,../fastq/Nivea_folha_jul_18_5_R1.fastq.gz,../fastq/Nivea_folha_jul_18_5_R2.fastq.gz
Nivea_raiz_jul_18_5,../fastq/Nivea_raiz_jul_18_5_R1.fastq.gz,../fastq/Nivea_raiz_jul_18_5_R2.fastq.gz
Inter_folha_out_17_4,../fastq/Inter_folha_out_17_4_R1.fastq.gz,../fastq/Inter_folha_out_17_4_R2.fastq.gz
Nivea_raiz_jul_18_1,../fastq/Nivea_raiz_jul_18_1_R1.fastq.gz,../fastq/Nivea_raiz_jul_18_1_R2.fastq.gz
Inter_folha_out_17_1,../fastq/Inter_folha_out_17_1_R1.fastq.gz,../fastq/Inter_folha_out_17_1_R2.fastq.gz
Inter_folha_jul_18_4,../fastq/Inter_folha_jul_18_4_R1.fastq.gz,../fastq/Inter_folha_jul_18_4_R2.fastq.gz
Inter_folha_abr_18_3,../fastq/Inter_folha_abr_18_3_R1.fastq.gz,../fastq/Inter_folha_abr_18_3_R2.fastq.gz
Inter_folha_jul_18_3,../fastq/Inter_folha_jul_18_3_R1.fastq.gz,../fastq/Inter_folha_jul_18_3_R2.fastq.gz
Inter_raiz_set_17_3,../fastq/Inter_raiz_set_17_3_R1.fastq.gz,../fastq/Inter_raiz_set_17_3_R2.fastq.gz
Inter_folha_out_17_2,../fastq/Inter_folha_out_17_2_R1.fastq.gz,../fastq/Inter_folha_out_17_2_R2.fastq.gz
Inter_folha_set_17_4,../fastq/Inter_folha_set_17_4_R1.fastq.gz,../fastq/Inter_folha_set_17_4_R2.fastq.gz
Nivea_raiz_out_17_2,../fastq/Nivea_raiz_out_17_2_R1.fastq.gz,../fastq/Nivea_raiz_out_17_2_R2.fastq.gz
Inter_folha_abr_18_2,../fastq/Inter_folha_abr_18_2_R1.fastq.gz,../fastq/Inter_folha_abr_18_2_R2.fastq.gz
Inter_raiz_set_17_5,../fastq/Inter_raiz_set_17_5_R1.fastq.gz,../fastq/Inter_raiz_set_17_5_R2.fastq.gz
Inter_folha_set_17_5,../fastq/Inter_folha_set_17_5_R1.fastq.gz,../fastq/Inter_folha_set_17_5_R2.fastq.gz
Nivea_folha_jul_18_3,../fastq/Nivea_folha_jul_18_3_R1.fastq.gz,../fastq/Nivea_folha_jul_18_3_R2.fastq.gz
Nivea_folha_jul_18_1,../fastq/Nivea_folha_jul_18_1_R1.fastq.gz,../fastq/Nivea_folha_jul_18_1_R2.fastq.gz
Nivea_raiz_abr_18_4,../fastq/Nivea_raiz_abr_18_4_R1.fastq.gz,../fastq/Nivea_raiz_abr_18_4_R2.fastq.gz
Nivea_folha_out_17_5,../fastq/Nivea_folha_out_17_5_R1.fastq.gz,../fastq/Nivea_folha_out_17_5_R2.fastq.gz
Nivea_folha_abr_18_3,../fastq/Nivea_folha_abr_18_3_R1.fastq.gz,../fastq/Nivea_folha_abr_18_3_R2.fastq.gz
Nivea_folha_abr_18_5,../fastq/Nivea_folha_abr_18_5_R1.fastq.gz,../fastq/Nivea_folha_abr_18_5_R2.fastq.gz
Inter_raiz_out_17_3,../fastq/Inter_raiz_out_17_3_R1.fastq.gz,../fastq/Inter_raiz_out_17_3_R2.fastq.gz
Inter_folha_abr_18_1,../fastq/Inter_folha_abr_18_1_R1.fastq.gz,../fastq/Inter_folha_abr_18_1_R2.fastq.gz
Inter_raiz_abr_18_4,../fastq/Inter_raiz_abr_18_4_R1.fastq.gz,../fastq/Inter_raiz_abr_18_4_R2.fastq.gz
Inter_raiz_jul_18_3,../fastq/Inter_raiz_jul_18_3_R1.fastq.gz,../fastq/Inter_raiz_jul_18_3_R2.fastq.gz
Inter_raiz_out_17_1,../fastq/Inter_raiz_out_17_1_R1.fastq.gz,../fastq/Inter_raiz_out_17_1_R2.fastq.gz
Nivea_folha_out_17_2,../fastq/Nivea_folha_out_17_2_R1.fastq.gz,../fastq/Nivea_folha_out_17_2_R2.fastq.gz
Nivea_raiz_set_17_2,../fastq/Nivea_raiz_set_17_2_R1.fastq.gz,../fastq/Nivea_raiz_set_17_2_R2.fastq.gz
Nivea_folha_set_17_4,../fastq/Nivea_folha_set_17_4_R1.fastq.gz,../fastq/Nivea_folha_set_17_4_R2.fastq.gz
Inter_folha_jul_18_1,../fastq/Inter_folha_jul_18_1_R1.fastq.gz,../fastq/Inter_folha_jul_18_1_R2.fastq.gz
Inter_folha_out_17_3,../fastq/Inter_folha_out_17_3_R1.fastq.gz,../fastq/Inter_folha_out_17_3_R2.fastq.gz
Nivea_folha_abr_18_2,../fastq/Nivea_folha_abr_18_2_R1.fastq.gz,../fastq/Nivea_folha_abr_18_2_R2.fastq.gz
Inter_folha_abr_18_5,../fastq/Inter_folha_abr_18_5_R1.fastq.gz,../fastq/Inter_folha_abr_18_5_R2.fastq.gz
Nivea_raiz_out_17_4,../fastq/Nivea_raiz_out_17_4_R1.fastq.gz,../fastq/Nivea_raiz_out_17_4_R2.fastq.gz
Nivea_raiz_jul_18_3,../fastq/Nivea_raiz_jul_18_3_R1.fastq.gz,../fastq/Nivea_raiz_jul_18_3_R2.fastq.gz
Nivea_raiz_out_17_3,../fastq/Nivea_raiz_out_17_3_R1.fastq.gz,../fastq/Nivea_raiz_out_17_3_R2.fastq.gz
Inter_folha_jul_18_5,../fastq/Inter_folha_jul_18_5_R1.fastq.gz,../fastq/Inter_folha_jul_18_5_R2.fastq.gz
Nivea_folha_out_17_3,../fastq/Nivea_folha_out_17_3_R1.fastq.gz,../fastq/Nivea_folha_out_17_3_R2.fastq.gz
Inter_folha_set_17_3,../fastq/Inter_folha_set_17_3_R1.fastq.gz,../fastq/Inter_folha_set_17_3_R2.fastq.gz
Inter_raiz_jul_18_4,../fastq/Inter_raiz_jul_18_4_R1.fastq.gz,../fastq/Inter_raiz_jul_18_4_R2.fastq.gz
Inter_folha_set_17_2,../fastq/Inter_folha_set_17_2_R1.fastq.gz,../fastq/Inter_folha_set_17_2_R2.fastq.gz
Inter_raiz_set_17_1,../fastq/Inter_raiz_set_17_1_R1.fastq.gz,../fastq/Inter_raiz_set_17_1_R2.fastq.gz
Inter_folha_abr_18_4,../fastq/Inter_folha_abr_18_4_R1.fastq.gz,../fastq/Inter_folha_abr_18_4_R2.fastq.gz
Inter_raiz_abr_18_1,../fastq/Inter_raiz_abr_18_1_R1.fastq.gz,../fastq/Inter_raiz_abr_18_1_R2.fastq.gz
Nivea_raiz_set_17_3,../fastq/Nivea_raiz_set_17_3_R1.fastq.gz,../fastq/Nivea_raiz_set_17_3_R2.fastq.gz
Nivea_raiz_out_17_5,../fastq/Nivea_raiz_out_17_5_R1.fastq.gz,../fastq/Nivea_raiz_out_17_5_R2.fastq.gz
Nivea_folha_set_17_5,../fastq/Nivea_folha_set_17_5_R1.fastq.gz,../fastq/Nivea_folha_set_17_5_R2.fastq.gz
Nivea_raiz_abr_18_2,../fastq/Nivea_raiz_abr_18_2_R1.fastq.gz,../fastq/Nivea_raiz_abr_18_2_R2.fastq.gz
Nivea_folha_jul_18_4,../fastq/Nivea_folha_jul_18_4_R1.fastq.gz,../fastq/Nivea_folha_jul_18_4_R2.fastq.gz
Inter_folha_set_17_1,../fastq/Inter_folha_set_17_1_R1.fastq.gz,../fastq/Inter_folha_set_17_1_R2.fastq.gz
Nivea_raiz_jul_18_4,../fastq/Nivea_raiz_jul_18_4_R1.fastq.gz,../fastq/Nivea_raiz_jul_18_4_R2.fastq.gz
Nivea_raiz_set_17_1,../fastq/Nivea_raiz_set_17_1_R1.fastq.gz,../fastq/Nivea_raiz_set_17_1_R2.fastq.gz
Inter_raiz_jul_18_5,../fastq/Inter_raiz_jul_18_5_R1.fastq.gz,../fastq/Inter_raiz_jul_18_5_R2.fastq.gz
Nivea_raiz_abr_18_3,../fastq/Nivea_raiz_abr_18_3_R1.fastq.gz,../fastq/Nivea_raiz_abr_18_3_R2.fastq.gz
Nivea_folha_abr_18_1,../fastq/Nivea_folha_abr_18_1_R1.fastq.gz,../fastq/Nivea_folha_abr_18_1_R2.fastq.gz
Inter_raiz_set_17_2,../fastq/Inter_raiz_set_17_2_R1.fastq.gz,../fastq/Inter_raiz_set_17_2_R2.fastq.gz
Nivea_folha_out_17_1,../fastq/Nivea_folha_out_17_1_R1.fastq.gz,../fastq/Nivea_folha_out_17_1_R2.fastq.gz
Nivea_raiz_abr_18_1,../fastq/Nivea_raiz_abr_18_1_R1.fastq.gz,../fastq/Nivea_raiz_abr_18_1_R2.fastq.gz
Nivea_raiz_out_17_1,../fastq/Nivea_raiz_out_17_1_R1.fastq.gz,../fastq/Nivea_raiz_out_17_1_R2.fastq.gz
Inter_raiz_abr_18_3,../fastq/Inter_raiz_abr_18_3_R1.fastq.gz,../fastq/Inter_raiz_abr_18_3_R2.fastq.gz
Inter_raiz_abr_18_2,../fastq/Inter_raiz_abr_18_2_R1.fastq.gz,../fastq/Inter_raiz_abr_18_2_R2.fastq.gz
Nivea_folha_set_17_2,../fastq/Nivea_folha_set_17_2_R1.fastq.gz,../fastq/Nivea_folha_set_17_2_R2.fastq.gz
Nivea_folha_abr_18_4,../fastq/Nivea_folha_abr_18_4_R1.fastq.gz,../fastq/Nivea_folha_abr_18_4_R2.fastq.gz
Inter_raiz_abr_18_5,../fastq/Inter_raiz_abr_18_5_R1.fastq.gz,../fastq/Inter_raiz_abr_18_5_R2.fastq.gz
Inter_raiz_out_17_2,../fastq/Inter_raiz_out_17_2_R1.fastq.gz,../fastq/Inter_raiz_out_17_2_R2.fastq.gz
Inter_raiz_jul_18_2,../fastq/Inter_raiz_jul_18_2_R1.fastq.gz,../fastq/Inter_raiz_jul_18_2_R2.fastq.gz
Inter_folha_out_17_5,../fastq/Inter_folha_out_17_5_R1.fastq.gz,../fastq/Inter_folha_out_17_5_R2.fastq.gz
Inter_raiz_set_17_4,../fastq/Inter_raiz_set_17_4_R1.fastq.gz,../fastq/Inter_raiz_set_17_4_R2.fastq.gz
Inter_folha_jul_18_2,../fastq/Inter_folha_jul_18_2_R1.fastq.gz,../fastq/Inter_folha_jul_18_2_R2.fastq.gz
Inter_raiz_out_17_5,../fastq/Inter_raiz_out_17_5_R1.fastq.gz,../fastq/Inter_raiz_out_17_5_R2.fastq.gz
Inter_raiz_out_17_4,../fastq/Inter_raiz_out_17_4_R1.fastq.gz,../fastq/Inter_raiz_out_17_4_R2.fastq.gz
Nivea_raiz_jul_18_2,../fastq/Nivea_raiz_jul_18_2_R1.fastq.gz,../fastq/Nivea_raiz_jul_18_2_R2.fastq.gz
Nivea_folha_set_17_3,../fastq/Nivea_folha_set_17_3_R1.fastq.gz,../fastq/Nivea_folha_set_17_3_R2.fastq.gz
Nivea_raiz_set_17_4,../fastq/Nivea_raiz_set_17_4_R1.fastq.gz,../fastq/Nivea_raiz_set_17_4_R2.fastq.gz
Nivea_folha_set_17_1,../fastq/Nivea_folha_set_17_1_R1.fastq.gz,../fastq/Nivea_folha_set_17_1_R2.fastq.gz
